Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20
1.471062668251478023e+01,-9.754394603416216114e+00,6.709767171734237934e+01,4.598600632649426645e-01,-9.829415762153725922e-01,2.360271286600686302e+00,2.724402448445797820e+00,3.298184322567015325e+00,3.681156693388716761e+00,4.117141445050674697e+00,4.533960410518605322e+00,5.115942595882195576e+00,5.444448646011734283e+00,5.966819656845174791e+00,6.339819366527174260e+00,6.964996203638360583e+00,7.272896135986642641e+00,7.888760355042571781e+00,8.257604042876780071e+00,8.742501609035210564e+00
1.415026650202111824e+00,7.036364989542008175e+00,-7.901588017885046611e+01,7.062518988982064982e-01,-1.396197472902569459e+00,3.453942385248045532e+00,4.259535455746541466e+00,4.862361905804288398e+00,5.652365613108396580e+00,6.339368983843764127e+00,7.113656918155871089e+00,7.770898061503283216e+00,8.483368639315244764e+00,9.132418021901006711e+00,9.920177288579502317e+00,1.063261809332766816e+01,1.127856535409321914e+01,1.209978893519389054e+01,1.267507345320133716e+01,1.342460178340612131e+01
1.861860401482909211e+00,-7.251802234206678577e+00,-1.171365699563864098e+02,9.511960865026296286e-02,-1.998077313094226981e-01,4.296755840665333337e-01,4.947648901513654329e-01,7.087928561989997878e-01,8.490354991958264375e-01,8.779380288907037144e-01,9.611717426137820208e-01,9.709356296291493660e-01,1.216837330302276143e+00,1.157097998926744475e+00,1.266636097242225922e+00,1.341751230226118086e+00,1.532863976634896597e+00,1.662052629713753449e+00,1.643119677753985375e+00,1.763698959939711264e+00
2.346222276331264567e-01,4.959806705919837633e+00,-1.828873582227227956e+01,8.502540204244420918e-01,-1.757806964752482770e+00,4.163021301837492416e+00,5.135151080595082185e+00,5.904602994226614499e+00,6.726751340335877849e+00,7.628527054910114735e+00,8.499554171575208983e+00,9.337179967908218359e+00,1.020262095814894465e+01,1.108195013110888283e+01,1.195921909015755702e+01,1.271796865225529949e+01,1.358263388800147808e+01,1.447836282797485730e+01,1.523378864224248019e+01,1.605877197484706542e+01
1.020395672954384025e+01,-1.101017764167827728e+01,-1.147698376273664849e+02,3.071717970202636483e-01,-7.109812715354433266e-01,1.583894953278939699e+00,1.887257464366868032e+00,2.066005125857889535e+00,2.507631694469746542e+00,2.691510490430114366e+00,2.988433526774479709e+00,3.315361279012583484e+00,3.646816698157595127e+00,3.921192552246527629e+00,4.291078118444095146e+00,4.695994022112582655e+00,4.980613822974245153e+00,5.135152873567722764e+00,5.476805777851867063e+00,5.770542925337763585e+00
4.222254489626249274e+00,-1.013527462653551403e+01,9.214584917755998106e+01,6.884032919892359992e-01,-1.278488684836474709e+00,3.376639961451843419e+00,4.215842767349246678e+00,4.741372785633108045e+00,5.487212839627748195e+00,6.237922512228752936e+00,6.971112759215966292e+00,7.625380423014906484e+00,8.334018322201277584e+00,8.863854458711545092e+00,9.624503263923559260e+00,1.025536982124045338e+01,1.097301302776734921e+01,1.165215591060040801e+01,1.242836480891776318e+01,1.302922000270369196e+01
1.319720815549195336e+01,-1.073057025887106875e+01,-3.464668947480299721e+01,2.501174782523444828e-01,-4.049757488972058894e-01,1.249899569570318558e+00,1.430166271535535882e+00,1.776764706841259756e+00,2.055509989777613900e+00,2.311626948521637193e+00,2.478015500631962631e+00,2.811013808493992627e+00,2.905696423444485088e+00,3.242789468561018573e+00,3.525551209648603024e+00,3.762812361163657915e+00,3.978249251046509727e+00,4.239465577541367658e+00,4.582549303101562721e+00,4.755639059886489939e+00
2.079623073336832917e+01,-5.616123730669607683e-01,-1.021028775637200567e+02,6.499583189990792986e-01,-1.375771258076892156e+00,3.241304948633125349e+00,3.848191307951874585e+00,4.539931733543089543e+00,5.133015515889491454e+00,5.887232757171275033e+00,6.449039853114573617e+00,7.184256684668826942e+00,7.724657863562442550e+00,8.514590702967222313e+00,9.079918972238342434e+00,9.728600316551350602e+00,1.048796130666984183e+01,1.095003555892558644e+01,1.161721900852399081e+01,1.231118076444965936e+01
2.365703661806262126e+00,-8.301889939191205769e+00,-1.039863582342088932e+02,8.133161396270633947e-01,-1.551304333020994131e+00,4.066184823833108197e+00,4.837036484012887882e+00,5.711164650466155734e+00,6.445643833420668933e+00,7.264294726864958918e+00,8.154138874961534000e+00,8.932428665679829294e+00,9.859358020849626314e+00,1.053922614103678868e+01,1.130240385433255490e+01,1.218503535714197561e+01,1.310096144428305465e+01,1.376920217387576351e+01,1.455473054644642339e+01,1.551024185860258342e+01
4.888310908139099631e+00,-9.967525588396270564e+00,1.098089887436134973e+02,8.923267960858385361e-01,-1.686952011227537129e+00,4.377816370504671539e+00,5.402873860807705597e+00,6.202008135281262824e+00,7.236872073374247094e+00,8.119976003720646318e+00,8.997445112882569873e+00,9.789782906437116239e+00,1.067436379596281881e+01,1.158201288131103723e+01,1.241349254425360371e+01,1.329995108132666815e+01,1.420196039183701231e+01,1.520497197088637087e+01,1.605232536744940219e+01,1.685927502112941667e+01
2.316886161325254712e+00,6.983447644334485283e+00,-1.518553029508933960e+01,2.706310703296793130e-01,-5.910809277950970220e-01,1.306841196701188812e+00,1.673765822290797178e+00,1.892912484499627013e+00,2.240705298253703237e+00,2.365885533166731669e+00,2.770770749134864541e+00,2.907870151673494608e+00,3.147817388877805378e+00,3.568369995229617064e+00,3.860367950726445674e+00,4.134513045310788115e+00,4.306626409312177550e+00,4.522722843366018708e+00,4.836742667318697286e+00,5.195844367299855548e+00
4.942446497534553451e+00,9.861066220620617884e+00,-8.470923477362750020e+01,5.691533868836958776e-01,-1.070577591388701677e+00,2.910003719412316947e+00,3.458398005735753955e+00,4.013062920719581150e+00,4.542306354368975008e+00,5.165448597449532997e+00,5.630308562078834456e+00,6.247185496511421299e+00,6.882251470093494028e+00,7.350545406897915690e+00,7.984043983261897459e+00,8.444616627051475533e+00,9.052248197249417316e+00,9.581377428724948686e+00,1.023450501423620551e+01,1.072212388498525293e+01
4.979968886136788342e+00,-9.983473385672839484e+00,1.125626927406486004e+02,5.144858911053904471e-01,-1.024548837474219320e+00,2.553701244727172526e+00,2.995286633651316421e+00,3.679852343216549304e+00,4.073627163276262841e+00,4.689110365450465778e+00,5.191223768611341605e+00,5.753931295252777467e+00,6.119499962348369237e+00,6.667482912635557035e+00,7.137388110674518060e+00,7.694108684359223460e+00,8.284840903403411616e+00,8.830474239029847183e+00,9.345037139375467206e+00,9.692155958767942892e+00
-4.225358702628358998e-01,-3.820352828586443206e+00,1.214647699795734184e+02,5.046323943878565643e-01,-1.004246935751876846e+00,2.603785173175915180e+00,2.991291064979783698e+00,3.539792336350527258e+00,3.974320695071221987e+00,4.637542470423715812e+00,5.086758106564365001e+00,5.542069593354457702e+00,6.064224311296550596e+00,6.510355452027449807e+00,7.057769318316690743e+00,7.640577232271703600e+00,8.159617725816220357e+00,8.498827630551227585e+00,9.120072631690623766e+00,9.631397236815175233e+00
1.693967402778346809e+01,-8.628389413377515638e+00,1.198971434812528969e+02,9.423045655201468529e-01,-1.966918007218568132e+00,4.642736883784150947e+00,5.607224351132007456e+00,6.642380155082361348e+00,7.502302378782621517e+00,8.531266393226619726e+00,9.340487712476553739e+00,1.042711125469983990e+01,1.139787715922630262e+01,1.229734549096293605e+01,1.314309696696520113e+01,1.413880495503075352e+01,1.514160957666427976e+01,1.599883347469783779e+01,1.701533289481772471e+01,1.784620962485735873e+01
2.257750091271120141e-01,-4.869280171855049133e+00,8.432418570981032246e+01,3.224157095055062427e-01,-6.540068859733269013e-01,1.680022396603219281e+00,1.913799851306580813e+00,2.233124323224405572e+00,2.581965756489895014e+00,2.969854680355761278e+00,3.295752788114058252e+00,3.591631975834791657e+00,3.846306787403474647e+00,4.258778695405833759e+00,4.491029701040712752e+00,4.789785109547048059e+00,5.157632688639205654e+00,5.390529467558506482e+00,5.887682528487879985e+00,6.059058179494113183e+00
9.881923859722881787e+00,1.051020605899199190e+01,-7.447837330832053127e+00,8.465980816854715707e-01,-1.594936565605069578e+00,4.301217266193861910e+00,4.986543194534458934e+00,5.930160045531167157e+00,6.682013716387139368e+00,7.699221245722894125e+00,8.379736896046658501e+00,9.301414144587631938e+00,1.006359525812018774e+01,1.093042778788809422e+01,1.189244969471339886e+01,1.262564649222162849e+01,1.358509896280154550e+01,1.445101809653140990e+01,1.523793382351078307e+01,1.607503411874928645e+01
5.804071329936953738e+00,1.067251770976449698e+01,-1.233548103898317834e+02,8.157908330046587109e-01,-1.705005048276231339e+00,4.091013734457058959e+00,4.891301669074736402e+00,5.688321135715957766e+00,6.446942736296081833e+00,7.280227652258772331e+00,8.203346722629566656e+00,9.052004572612574407e+00,9.697717905513830061e+00,1.059153791325092087e+01,1.149625998921446701e+01,1.218039965461642282e+01,1.303752035545992172e+01,1.392476677605719892e+01,1.472387282500178252e+01,1.559173599484269701e+01
1.837651856630655445e+01,6.820690507263310387e+00,8.233620713348639697e+01,5.238944100375521051e-01,-9.763289955725480418e-01,2.576997603085619204e+00,3.089145943728247801e+00,3.684711047683149054e+00,4.225334449343450594e+00,4.692910661824765128e+00,5.155184341581047214e+00,5.723882852231263030e+00,6.242359198219156191e+00,6.730684993914160863e+00,7.336234307484931882e+00,7.816249217973527230e+00,8.291002155289017850e+00,8.946750297007822539e+00,9.482269463497168260e+00,9.905631188552600719e+00
5.975108734899118978e+00,9.833538506049434247e+00,-1.108708699307386212e+02,2.714722040330380115e-01,-4.665323598100564739e-01,1.313259464509094254e+00,1.716857133715457673e+00,1.809279438548388352e+00,2.103181888290334367e+00,2.366226260061825126e+00,2.782504353768115557e+00,2.929201228314795902e+00,3.201999617118854058e+00,3.547562856403225329e+00,3.749924370078601132e+00,4.016039872367890950e+00,4.258531005068927122e+00,4.572662002826842986e+00,4.914098072522498306e+00,5.233258036744912189e+00
1.266511200375984103e+01,1.075575083724278791e+01,1.225753684291983632e+02,7.807126835574879076e-01,-1.644300893042450085e+00,3.870217667569522568e+00,4.593389301758370458e+00,5.440044926220842569e+00,6.225400067507649737e+00,6.954379348582009790e+00,7.777428037420234475e+00,8.666940889700398998e+00,9.353044997813244166e+00,1.013489119813702288e+01,1.101720332751571796e+01,1.165225076623395672e+01,1.255722562673341258e+01,1.317247796789090053e+01,1.414208876574141982e+01,1.474058051685650028e+01
1.184795121368977711e+01,1.158052377182221093e+01,1.374803434885400293e+02,1.019761679989426906e+00,-1.996218549350569305e+00,5.075970130242700940e+00,6.215104912636005174e+00,7.193700270937113395e+00,8.108872680098199837e+00,9.158690060677642464e+00,1.025466084021104862e+01,1.129734295661099175e+01,1.227836029821920150e+01,1.316371159158101811e+01,1.436768160346984224e+01,1.520085709373447003e+01,1.640048442386587269e+01,1.737806327292270581e+01,1.831171825791315655e+01,1.929159681314916597e+01
1.958701059849128967e+01,4.674331378086397315e+00,3.608611761100644344e+01,3.109821792639906324e-01,-7.197561324719212728e-01,1.587417872343387826e+00,1.855025900676037898e+00,2.205750575689756410e+00,2.443964801041268231e+00,2.849071164458063965e+00,3.087949462942031875e+00,3.440776282207309134e+00,3.826109771795127568e+00,4.068660217217046515e+00,4.320746271495385926e+00,4.607609016029508453e+00,5.050436685309506402e+00,5.347521214945194501e+00,5.569037739292876488e+00,5.972204055629659614e+00
2.038263968310730689e+01,-3.741512123944868318e+00,-1.049623721326678663e+02,2.500664043064542708e-01,-5.268561784480934040e-01,1.212195665907712216e+00,1.528126113665483565e+00,1.805818657887070744e+00,2.092686049217142852e+00,2.221607638402719687e+00,2.417305744249457433e+00,2.848988322764137049e+00,2.946422288700119907e+00,3.204215095149328008e+00,3.581978171434168967e+00,3.748568760564110480e+00,4.001580343574172360e+00,4.275182126360872914e+00,4.436516059093276176e+00,4.849082320884682495e+00
8.950253813368627576e+00,1.092006209266577521e+01,1.003911571685185464e+02,3.438658707983527352e-01,-6.129740735768213211e-01,1.780292330847383031e+00,2.145479994233028265e+00,2.381203199710727691e+00,2.714884112594720289e+00,3.004231921254032045e+00,3.384021924457393915e+00,3.811690377174721700e+00,4.203521122636582952e+00,4.503179979191721749e+00,4.744218924245431346e+00,5.118309661176516201e+00,5.528291742291174593e+00,5.816099440341295335e+00,6.177499695316994277e+00,6.475853190761612588e+00
6.145808183689279502e+00,1.038919931370104699e+01,-1.025077822608641895e+02,5.413171665589908699e-01,-1.005710625038259698e+00,2.625025523475285283e+00,3.277551902956854946e+00,3.802963506436853880e+00,4.246793057798042170e+00,4.887481100278916024e+00,5.330994745172397131e+00,5.904687376225889572e+00,6.540354658716547753e+00,6.939356531435968201e+00,7.572588659953377821e+00,8.103952085873739719e+00,8.660847637149672096e+00,9.292625836974384157e+00,9.790137525230043991e+00,1.023566973918090461e+01
-1.360624242721472754e+00,9.987220484731608172e-01,-6.476369648656292100e+01,5.554574061014942998e-01,-1.016180290168888778e+00,2.860036736427636228e+00,3.292270671999466991e+00,3.892277830166512853e+00,4.423795486455265547e+00,5.049133673656616139e+00,5.457538152195475334e+00,6.052389196057072596e+00,6.661926786730469452e+00,7.189278728671792074e+00,7.761392215952914952e+00,8.301126189882353401e+00,8.791240171941138826e+00,9.526252785769099063e+00,1.005211825350040300e+01,1.058745256016759129e+01
2.485569076556797263e+00,-7.696982215908307445e+00,-1.074210469693209404e+02,8.409570978696589982e-01,-1.690434141440431137e+00,4.167265846702949972e+00,5.140913073588656346e+00,5.809820625854336562e+00,6.764223282117099778e+00,7.636516457087139997e+00,8.477380293458972815e+00,9.228970771453358424e+00,1.015204482395816932e+01,1.095620438503655336e+01,1.169508646992258782e+01,1.260499779363724038e+01,1.341613957251481892e+01,1.438775464340097798e+01,1.509340690296667731e+01,1.606400899463356424e+01
7.928367618843337183e+00,1.046067672080315170e+01,9.125814398110274794e+01,2.995030333386753396e-01,-6.426690699043379196e-01,1.543479941955514745e+00,1.818180399258065405e+00,2.174303652245689555e+00,2.364270001767585949e+00,2.745416061258801665e+00,3.069595707691818109e+00,3.309508803186273163e+00,3.558548378990356031e+00,3.797405141675609830e+00,4.261515230376180519e+00,4.400668190735792962e+00,4.789093731768909734e+00,5.175531520208793701e+00,5.428251970608519272e+00,5.599197110610298012e+00
5.216540994057289105e+00,-9.684611615498848636e+00,1.076316239784590465e+02,1.071960338593331397e+00,-2.142206780390207399e+00,5.360512341924208002e+00,6.474881240255879966e+00,7.515730867732372644e+00,8.624818762709944409e+00,9.690111569842839501e+00,1.068880575832151081e+01,1.173267767990389387e+01,1.290708687540022304e+01,1.390121998161896144e+01,1.492214010697994908e+01,1.601928087895167607e+01,1.711312903279496211e+01,1.817238131307286153e+01,1.925715399132656458e+01,2.037447949386020696e+01
2.081590835485735624e+01,2.545007985797302918e+00,-2.742385810342373276e+01,6.072505775505034897e-01,-1.227818441186481202e+00,2.944882333205425695e+00,3.707308105995803071e+00,4.268504846715716283e+00,4.771005319168941661e+00,5.447619955537761349e+00,6.159562092640445741e+00,6.606835298203299622e+00,7.329020168024282356e+00,7.851361901965434598e+00,8.601383058053016839e+00,9.091448934936012805e+00,9.801229663173797846e+00,1.035207414510989210e+01,1.099435413361251079e+01,1.155324304895462539e+01
1.824553795369565989e+01,7.413025929668706659e+00,9.378458681065222891e+01,4.047673498329937836e-01,-7.766272998425949314e-01,1.982089603188617488e+00,2.447838026740314366e+00,2.755087195994809335e+00,3.310348079758059114e+00,3.572176776555821220e+00,4.114165690869259429e+00,4.374886325134800025e+00,4.797752431121423911e+00,5.230065503286525974e+00,5.687776139922864793e+00,6.104129177064591794e+00,6.391016506440444722e+00,6.800729195877416089e+00,7.286448662778283847e+00,7.690075906216380375e+00
-7.643372241590409288e-01,9.329348417780182201e-01,-5.932461574002064708e+01,1.072928363916593880e-01,-1.272798074167356963e-01,5.644298046913505118e-01,6.420421496643232695e-01,8.003165402800471728e-01,8.256774401976856304e-01,1.045112085090900589e+00,1.003800789450823849e+00,1.123465965977076930e+00,1.309238945696979073e+00,1.421440143237437059e+00,1.415607607116459832e+00,1.616388267451542404e+00,1.650435960866557084e+00,1.878052840291970726e+00,1.921498277159618961e+00,2.043238440208680728e+00
8.009027693244107127e+00,-1.148515688578705785e+01,-2.448853851008300442e+00,6.639600570379202704e-01,-1.338183662286176911e+00,3.413515326936006122e+00,4.061810283703210622e+00,4.682360900725686115e+00,5.354555093165474844e+00,5.914185753197677364e+00,6.642546617364607719e+00,7.362031957532254367e+00,8.010567898475883908e+00,8.726505898298809072e+00,9.213670044807319215e+00,9.862660489170387734e+00,1.066741049806236674e+01,1.124528528657329041e+01,1.194178707859376587e+01,1.253929281181488697e+01
1.148434500811603698e-01,4.455440742877339488e+00,3.772594564696006358e+01,3.357888696125117534e-01,-5.955206277262556913e-01,1.742611318788839903e+00,1.951485150919185951e+00,2.319632872493897935e+00,2.679983306823787270e+00,3.088631794960754018e+00,3.361257696829246022e+00,3.768591159995868800e+00,4.107737498434963719e+00,4.413711463499506493e+00,4.713050766012050197e+00,4.941325327886453067e+00,5.444710574733840680e+00,5.670711098857862176e+00,6.075790277565038977e+00,6.417094706082527189e+00
-3.699896812396215040e-01,2.931749019318885985e+00,1.124214312065916346e+02,5.397024881696687038e-01,-1.016926127376698075e+00,2.797933410713224767e+00,3.227299139543062356e+00,3.795998916466997386e+00,4.258697720705808543e+00,4.799467729598053900e+00,5.331134562223412310e+00,5.867133312062229322e+00,6.542939854779567632e+00,6.979546990017853503e+00,7.521665502839105066e+00,8.142520216484841811e+00,8.698898821381911617e+00,9.265007985149082970e+00,9.771379652570843177e+00,1.019268899475362744e+01
2.904202011414138695e-01,-5.323833140152376409e+00,5.360732271314096664e+01,1.272504425662334127e+00,-2.606813226849703735e+00,6.347297976756043347e+00,7.620119745265680145e+00,8.901880508299978345e+00,1.012558400893913912e+01,1.147208135514353344e+01,1.267335938591160627e+01,1.407047491652637028e+01,1.524582564469520385e+01,1.652047224630112510e+01,1.780927207053575145e+01,1.916503289069216720e+01,2.026507925612709471e+01,2.165290518209419091e+01,2.295383564974825674e+01,2.424738745625349168e+01
-2.942735710662613968e-01,1.747235186102036986e+00,2.776337610198163830e+01,3.362807599545632464e-01,-6.403982346686125648e-01,1.703951748465601490e+00,2.011938979354792600e+00,2.397642093502797334e+00,2.598385499047958902e+00,3.113735395684145590e+00,3.445948605128080100e+00,3.712530419271141024e+00,4.087353057228632736e+00,4.399384496242970677e+00,4.664992963068285370e+00,5.130468616892504663e+00,5.430476831185507613e+00,5.767688649706207649e+00,6.030132633984641721e+00,6.328284830713665876e+00
7.313632244819956441e-03,-4.091751969474735517e+00,1.152017359273451262e+02,5.167213238681001020e-01,-9.640485210859421894e-01,2.544848755408017915e+00,3.062231077482099106e+00,3.545204392948316574e+00,4.206108645677800517e+00,4.641865042135545849e+00,5.242965112603688027e+00,5.697812608615397068e+00,6.219867926508076295e+00,6.776004547434674841e+00,7.197128063134154097e+00,7.811332547806121518e+00,8.221951542914101907e+00,8.689248203957770755e+00,9.360846835965455526e+00,9.823969267643958503e+00
1.482037603650596935e+01,-1.004079706396379734e+01,6.966665028583096841e+01,9.633911987174604841e-01,-1.896250649267977817e+00,4.767371360806799352e+00,5.729066184005519702e+00,6.652815459019591593e+00,7.709311634054926365e+00,8.738609170277344518e+00,9.658914151553885219e+00,1.063868281955528694e+01,1.148440577087234793e+01,1.252765634417142060e+01,1.341165470939755444e+01,1.438460646380958430e+01,1.543221506260462661e+01,1.639804691109291213e+01,1.741706071514801124e+01,1.820893992062575251e+01
2.506328329837810287e-01,5.371331560970912022e+00,-5.968906841714080969e+01,1.174580244505210036e-01,-1.683344247941727101e-01,4.903051772284381937e-01,6.612529621026946858e-01,7.999979274622175396e-01,9.809578635489794030e-01,1.070413947881484029e+00,1.228335299327880881e+00,1.382773937390268992e+00,1.418524962606611428e+00,1.466743241384519836e+00,1.644462372612255585e+00,1.830678169908305009e+00,1.936972958678585321e+00,1.924367088589089114e+00,2.188452508209772329e+00,2.282653673433298724e+00
4.608004559385508792e+00,9.234849426383528126e+00,-1.481647848204843321e+01,7.456426855001930809e-01,-1.499537034069620578e+00,3.670258735263291161e+00,4.480571201803511983e+00,5.278448843602818741e+00,6.047047329823397099e+00,6.681217523557966942e+00,7.491530663813187552e+00,8.261916077111422396e+00,8.869431348201292309e+00,9.693943891945052016e+00,1.052282840345246306e+01,1.114294994472805911e+01,1.201683473323962303e+01,1.276292905119666443e+01,1.333701048398886613e+01,1.425053956039691805e+01
-4.374449678202143588e-01,1.817692571437572013e+00,3.310955854465836978e+01,5.597486818492752869e-01,-1.124620513268234090e+00,2.791972258593822254e+00,3.418717611778535836e+00,3.859181002611041578e+00,4.556939508242258796e+00,4.981673548547925101e+00,5.615771749555750425e+00,6.212252565561451334e+00,6.799621376207930723e+00,7.229328739135777226e+00,7.761323241607338552e+00,8.395759119614805144e+00,9.015597870500464239e+00,9.512072277108503116e+00,1.002565881624831334e+01,1.069279886900929277e+01
1.557828798611457621e+01,9.318470901136683082e+00,1.129934993735431448e+02,4.581381364421097113e-01,-8.642589415658216145e-01,2.231003072049227320e+00,2.783885571930467151e+00,3.113107844046338446e+00,3.617451938823170288e+00,4.037942539774174833e+00,4.522617423782823387e+00,4.976168267904967024e+00,5.440610218424465572e+00,5.883258670925511247e+00,6.400994680904943834e+00,6.852538869757210271e+00,7.348123787347639713e+00,7.812596601417533648e+00,8.233226327038151382e+00,8.779991279058593889e+00
6.660130466046412678e+00,1.020905861492250111e+01,-5.763809810926765920e+01,5.886874037542443316e-01,-1.155800254540005234e+00,3.030342030886305604e+00,3.545216362099213203e+00,4.150817177174185524e+00,4.667503390753285686e+00,5.296586705052234834e+00,5.860184772275720988e+00,6.451274333004691997e+00,7.057621837406942156e+00,7.563133013333519727e+00,8.162665522685518482e+00,8.900575452157770684e+00,9.406944219164076415e+00,1.003345919539278341e+01,1.062703292011604894e+01,1.121759612974138953e+01
1.158968680834773402e+01,-1.098446947931217998e+01,-1.115802284536195259e+02,5.319024758879095094e-01,-9.903699997089412399e-01,2.597257383868937008e+00,3.278240576379722437e+00,3.698321325530073977e+00,4.167937879554483693e+00,4.881830066073496788e+00,5.295291113112866377e+00,5.873680549861951761e+00,6.361200025901575295e+00,7.004284270395854328e+00,7.429504733651647541e+00,7.958550752836987208e+00,8.540166781480172276e+00,9.064554213150302076e+00,9.533442305940328154e+00,1.006161050361793130e+01
3.018551412644013610e+00,7.968243641400277966e+00,1.005084088320540161e+02,6.385443449551924111e-01,-1.289472427205288430e+00,3.272302399601192846e+00,3.821509168950289137e+00,4.380171286501060024e+00,5.019387322811970087e+00,5.712212002371364505e+00,6.342961166955489283e+00,7.083764773223013123e+00,7.673081157448389256e+00,8.206640842864997509e+00,8.980130615858222143e+00,9.530658411594847834e+00,1.030427758725681997e+01,1.090783181506565214e+01,1.153550676463455105e+01,1.220685558273010507e+01
